Aa en Hunze,25785
Aalburg,12685
Aalsmeer,30189
Aalten,27439
Achtkarspelen,28123
Alblasserdam,19208
Albrandswaard,24674
Alkmaar,93936
Almelo,72599
Almere,190655
Alphen aan den Rijn,72680
Alphen-Chaam,9466
Ameland,3503
Amersfoort,146592
Amstelveen,81796
Amsterdam,779808
Apeldoorn,156199
Appingedam,12090
Arnhem,148070
Assen,66177
Asten,16296
Baarle-Nassau,6704
Baarn,24379
Barendrecht,46831
Barneveld,53026
Bedum,10495
Beek,16548
Beemster,8573
Beesel,13844
Bellingwedde,9402
Bergambacht,9801
Bergeijk,18073
Bergen,30868
Bergen,13350
Bergen op Zoom,66074
Berkelland,44863
Bernheze,29728
Bernisse,12404
Best,28810
Beuningen,25507
Beverwijk,39329
Binnenmaas,28967
Bladel,19386
Blaricum,8959
Bloemendaal,22039
Boarnsterhim,19298
Bodegraven-Reeuwijk,32728
Boekel,9865
Borger-Odoorn,25941
Borne,21557
Borsele,22707
Boskoop,15045
Boxmeer,28582
Boxtel,30280
Breda,174599
Brielle,15978
Bronckhorst,37677
Brummen,21219
Brunssum,29375
Bunnik,14437
Bunschoten,20111
Buren,26013
Bussum,32410
Capelle aan den IJssel,66104
Castricum,34593
Coevorden,36067
Cranendonck,20371
Cromstrijen,12789
Cuijk,24580
Culemborg,27584
Dalfsen,27313
Dantumadiel,19310
De Bilt,42049
De Marne,10501
De Ronde Venen,43004
De Wolden,23637
Delft,97690
Delfzijl,26567
Den Haag,495083
Den Helder,57207
Deurne,31676
Deventer,98737
Diemen,25012
Dinkelland,26067
Dirksland,8408
Doesburg,11636
Doetinchem,56037
Dongen,25101
Dongeradeel,24292
Dordrecht,118810
Drechterland,19335
Drimmelen,26477
Dronten,40164
Druten,18097
Duiven,25550
Echt-Susteren,32264
Edam-Volendam,28583
Ede,108285
Eemnes,8845
Eemsmond,16357
Eersel,18166
Eijsden-Margraten,24940
Eindhoven,216036
Elburg,22310
Emmen,109259
Enkhuizen,18173
Enschede,157838
Epe,32875
Ermelo,26133
Etten-Leur,41800
Ferwerderadiel,8864
Franekeradeel,20755
Gaasterlân-Sleat,10225
Geertruidenberg,21307
Geldermalsen,26224
Geldrop-Mierlo,38389
Gemert-Bakel,28906
Gennep,17383
Giessenlanden,14427
Gilze en Rijen,25764
Goedereede,11409
Goes,36665
Goirle,22807
Gorinchem,34895
Gouda,71047
Graafstroom,9807
Graft-De Rijp,6483
Grave,13031
Groesbeek,18870
Groningen,189991
Grootegast,12209
Gulpen-Wittem,14496
Haaksbergen,24448
Haaren,13630
Haarlem,150670
Haarlemmerliede en Spaarnwoude,5432
Haarlemmermeer,143374
Halderberge,29292
Hardenberg,59283
Harderwijk,44932
Hardinxveld-Giessendam,17535
Haren,18515
Harenkarspel,16179
Harlingen,15878
Hattem,11762
Heemskerk,39206
Heemstede,26297
Heerde,18300
Heerenveen,43454
Heerhugowaard,51985
Heerlen,89212
Heeze-Leende,15295
Heiloo,22580
Hellendoorn,35747
Hellevoetsluis,39739
Helmond,88560
Hendrik-Ido-Ambacht,27616
Hengelo,80747
het Bildt,10937
Heumen,16494
Heusden,43119
Hillegom,20627
Hilvarenbeek,15035
Hilversum,84984
Hof van Twente,35573
Hollands Kroon,47677
Hoogeveen,54844
Hoogezand-Sappemeer,34814
Hoorn,70697
Horst aan de Maas,41814
Houten,47935
Huizen,41726
Hulst,27719
IJsselstein,34348
Kaag en Braassem,25744
Kampen,50403
Kapelle,12365
Katwijk,62044
Kerkrade,47409
Koggenland,22082
Kollumerland en Nieuwkruisland,12930
Korendijk,10848
Krimpen aan den IJssel,28626
Laarbeek,21532
Landerd,14941
Landgraaf,38186
Landsmeer,10253
Langedijk,26997
Lansingerland,54090
Laren,11418
Leek,19333
Leerdam,20692
Leeuwarden,94838
Leeuwarderadeel,10377
Leiden,117915
Leiderdorp,26609
Leidschendam-Voorburg,72068
Lelystad,75111
Lemsterland,13621
Leudal,36600
Leusden,28609
Liesveld,9746
Lingewaal,10878
Lingewaard,45589
Lisse,22685
Littenseradiel,10998
Lochem,33278
Loon op Zand,22973
Lopik,14121
Loppersum,10478
Losser,22664
Maasdonk,11254
Maasdriel,23970
Maasgouw,24272
Maassluis,31910
Maastricht,119664
Marum,10471
Medemblik,42891
Meerssen,19495
Menameradiel,13774
Menterwolde,12385
Meppel,32511
Middelburg,48030
Middelharnis,18050
Midden-Delfland,18154
Midden-Drenthe,33581
Mill en Sint Hubert,11000
Millingen aan de Rijn,5921
Moerdijk,36547
Montferland,34976
Montfoort,13500
Mook en Middelaar,7947
Muiden,6499
Naarden,17185
Neder-Betuwe,22620
Nederlek,13994
Nederweert,16678
Neerijnen,11843
Nieuwegein,60947
Nieuwkoop,26988
Nieuw-Lekkerland,9541
Nijkerk,39788
Nijmegen,164223
Noord-Beveland,7474
Noordenveld,30794
Noordoostpolder,46253
Noordwijk,25438
Noordwijkerhout,15601
Nuenen, Gerwen en Nederwetten,22242
Nunspeet,26685
Nuth,15595
Oegstgeest,22767
Oirschot,17845
Oisterwijk,25721
Oldambt,39396
Oldebroek,22659
Oldenzaal,32176
Olst-Wijhe,17502
Ommen,17329
Onderbanken,8016
Oost Gelre,30113
Oosterhout,54072
Oostflakkee,10406
Ooststellingwerf,26004
Oostzaan,9114
Opmeer,11420
Opsterland,29991
Oss,84201
Oud-Beijerland,23536
Oude IJsselstreek,39922
Ouder-Amstel,13146
Ouderkerk,8141
Oudewater,9815
Overbetuwe,45953
Papendrecht,31883
Peel en Maas,43188
Pekela,12954
Pijnacker-Nootdorp,49286
Purmerend,79193
Putten,23746
Raalte,36688
Reimerswaal,21614
Renkum,31559
Renswoude,4752
Reusel-De Mierden,12606
Rheden,43982
Rhenen,18951
Ridderkerk,44889
Rijnwaarden,11010
Rijnwoude,18465
Rijssen-Holten,37433
Rijswijk,46671
Roerdalen,21239
Roermond,55595
Roosendaal,77541
Rotterdam,610386
Rozendaal,1512
Rucphen,22430
Schagen,18671
Schermer,5359
Scherpenzeel,9327
Schiedam,75718
Schiermonnikoog,957
Schijndel,23044
Schinnen,13408
Schoonhoven,11922
Schouwen-Duiveland,34203
s-Hertogenbosch,140786
Simpelveld,10953
Sint Anthonis,11796
Sint-Michielsgestel,28114
Sint-Oedenrode,17818
Sittard-Geleen,94814
Skarsterlân,27376
Sliedrecht,24061
Slochteren,15546
Sluis,23979
Smallingerland,55436
Soest,45611
Someren,18317
Son en Breugel,15653
Spijkenisse,72244
Stadskanaal,33122
Staphorst,16179
Stede Broec,21402
Steenbergen,23273
Steenwijkerland,43281
Stein,25709
Stichtse Vecht,63050
Strijen,8868
Súdwest Fryslân,82445
Ten Boer,7454
Terneuzen,54823
Terschelling,4721
Texel,13728
Teylingen,35812
Tholen,25489
Tiel,41181
Tilburg,206240
Tubbergen,21171
Twenterand,33727
Tynaarlo,32450
Tytsjerksteradiel,32178
Ubbergen,9358
Uden,40721
Uitgeest,12819
Uithoorn,28114
Urk,18678
Utrecht,311367
Utrechtse Heuvelrug,48726
Vaals,9805
Valkenburg aan de Geul,17024
Valkenswaard,30622
Veendam,27981
Veenendaal,62267
Veere,21926
Veghel,37476
Veldhoven,43592
Velsen,67347
Venlo,99793
Venray,42784
Vianen,19683
Vlaardingen,71269
Vlagtwedde,16290
Vlieland,1151
Vlissingen,44536
Vlist,9806
Voerendaal,12664
Voorschoten,23865
Voorst,23703
Vught,25654
Waalre,16482
Waalwijk,46211
Waddinxveen,25337
Wageningen,36642
Wassenaar,25830
Waterland,17140
Weert,48563
Weesp,17987
Werkendam,26353
West Maas en Waal,18301
Westerveld,19365
Westervoort,15336
Westland,99776
Weststellingwerf,25846
Westvoorne,13992
Wierden,23630
Wijchen,40507
Wijdemeren,23312
Wijk bij Duurstede,23115
Winsum,14054
Winterswijk,29026
Woensdrecht,21682
Woerden,49748
Wormerland,15801
Woudenberg,12008
Woudrichem,14423
Zaanstad,146940
Zaltbommel,26643
Zandvoort,16632
Zederik,13342
Zeevang,6350
Zeewolde,21106
Zeist,60824
Zevenaar,32234
Zijpe,11577
Zoetermeer,121911
Zoeterwoude,8130
Zuidhorn,18631
Zuidplas,40521
Zundert,21163
Zutphen,47084
Zwartewaterland,22018
Zwijndrecht,44445
Zwolle,120355